Skeleton ID,dRNM2 (70) - Presence,dRNM2 (70) - Development,dRNM2 (70) - Wear 1,dRNM2 (70) - Wear 2,dRNM2 (70) - Wear 3,dRNM2 (70) - Wear 4,dRNM2 (70) - Total Wear,dRNM2 (70) - Caries 1,dRNM2 (70) - Caries 2,dRNM2 (70) - Chipping,dRNM2 (70) - Hypoplasia,dRNM2 (70) - Calculus,dRNM2 (70) - Abscess,dRNM1 (69) - Presence,dRNM1 (69) - Development,dRNM1 (69) - Wear,dRNM1 (69) - Caries 1,dRNM1 (69) - Caries 2,dRNM1 (69) - Chipping,dRNM1 (69) - Hypoplasia,dRNM1 (69) - Calculus,dRNM1 (69) - Abscess,dRNC (68) - Presence,dRNC (68) - Development,dRNC (68) - Wear,dRNC (68) - Caries 1,dRNC (68) - Caries 2,dRNC (68) - Chipping,dRNC (68) - Hypoplasia,dRNC (68) - Calculus,dRNC (68) - Abscess,dRNI2 (67) - Presence,dRNI2 (67) - Development,dRNI2 (67) - Wear,dRNI2 (67) - Caries 1,dRNI2 (67) - Caries 2,dRNI2 (67) - Chipping,dRNI2 (67) - Hypoplasia,dRNI2 (67) - Calculus,dRNI2 (67) - Abscess,dRNI1 (66) - Presence,dRNI1 (66) - Development,dRNI1 (66) - Wear,dRNI1 (66) - Caries 1,dRNI1 (66) - Caries 2,dRNI1 (66) - Chipping,dRNI1 (66) - Hypoplasia,dRNI1 (66) - Calculus,dRNI1 (66) - Abscess,dLNI1 (65) - Presence,dLNI1 (65) - Development,dLNI1 (65) - Wear,dLNI1 (65) - Caries 1,dLNI1 (65) - Caries 2,dLNI1 (65) - Chipping,dLNI1 (65) - Hypoplasia,dLNI1 (65) - Calculus,dLNI1 (65) - Abscess,dLNI2 (64) - Presence,dLNI2 (64) - Development,dLNI2 (64) - Wear,dLNI2 (64) - Caries 1,dLNI2 (64) - Caries 2,dLNI2 (64) - Chipping,dLNI2 (64) - Hypoplasia,dLNI2 (64) - Calculus,dLNI2 (64) - Abscess,dLNC (63) - Presence,dLNC (63) - Development,dLNC (63) - Wear,dLNC (63) - Caries 1,dLNC (63) - Caries 2,dLNC (63) - Chipping,dLNC (63) - Hypoplasia,dLNC (63) - Calculus,dLNC (63) - Abscess,dLNM1 (62) - Presence,dLNM1 (62) - Development,dLNM1 (62) - Wear,dLNM1 (62) - Caries 1,dLNM1 (62) - Caries 2,dLNM1 (62) - Chipping,dLNM1 (62) - Hypoplasia,dLNM1 (62) - Calculus,dLNM1 (62) - Abscess,dLNM2 (61) - Presence,dLNM2 (61) - Development,dLNM2 (61) - Wear 1,dLNM2 (61) - Wear 2,dLNM2 (61) - Wear 3,dLNM2 (61) - Wear 4,dLNM2 (61) - Total Wear,dLNM2 (61) - Caries 1,dLNM2 (61) - Caries 2,dLNM2 (61) - Chipping,dLNM2 (61) - Hypoplasia,dLNM2 (61) - Calculus,dLNM2 (61) - Abscess
"ET100","5",,,,,,,,,,,,"0","1","08",,,,,"0",,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","1","08",,,,,"0",,"0","1","05",,,,,,,,,,,"0"
"ET16","5",,,,,,,,,,,,"9","2","11","1","0","0","1.1.3.0","0","0","9","2","10","1","0","0","0","0","0","9","2","11","1","0","0","0","0","0","9","2","13","1","0","0","0","0","0","9","5",,,,,,,,"9","5",,,,,,,,"9","2","10","1","0","0","0","0","0","9","5",,,,,,,,"9","5",,,,,,,,,,,,"9"
"ET17","2","16","02","02","05","05",14,"0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","3","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","02","01","05","05",13,"0","0","0","0","0","0"
"ET21",,,,,,,0,,,,,,,"1",,,,,,,,"0","1",,,,,,,,"0","5",,,,,,,,"0","1",,,,,,"0",,"0","1","10",,,,,"0",,"0","1",,,,,,,,"0","1",,,,,,,,"0","1",,,,,,,,"0",,,,,,,0,,,,,,
"ET31","2","16","01","01","01","01",4,"0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","2","16","1","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","3",,,,,,,,,,,,"9"
"ET36","2","16","04","03","05","05",17,"0","0","0","0","0","0","2","16","5","0","0","0","0","0","0","2","16","5","0","0","0","0","1.1","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","4","0","0","0","0","0","0","2","16","5","0","0","0","0","0","0","2","16","04","03","05","05",17,"0","0","0","0","1.4","0"
"ET37","5",,,,,,,,,,,,"0","2","16","3","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","3","0","0","0","0","1.2","0","2","16","3","0","0","0","0","0","0","2","16","01","02","04","04",11,"0","0","0","3*","0","0"
"ET63","2","16","02","02","04","04",12,"0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,"0","2","16","3","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","02","02","04","03",11,"0","0","0","0","0","0"
"ET64","1","04",,,,,,,,,,,"0","1","06",,,,,,,"0","1","06",,,,,,,"0","2","09",,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","1","06",,,,,,,"0","1","06",,,,,,,"0","1","04",,,,,,,,,,,"0"
"ET83","5",,,,,,,,,,,,"0","8",,,,,,,,"0","1","06",,,,,,,"0","1","06",,,,,,,"0","7",,,,,,,,"0","1","10",,,,,,,"0","1","06",,,,,,,"0","8",,,,,,,,"0","8",,,,,,,,"0","5",,,,,,,,,,,,"0"
"ET93","2","16","03","03","06","07",19,"0","0","0","0","0","0","2","16","4","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","4","0","0","0","0","0","0","2","16","03","03","05","06",17,"0","0","3.1.2.2","0","0","0"
"F10B","2","16","04","05","06","04",19,"0","0","0","0","0","0","2","16","4","0","0","3.1.1.1","0","0","0","5",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","4","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","03","02","05","05",15,"0","0","0","0","0","0"
"F10C","2","16","01","01","05","05",12,"0","0","0","0","0","0","2","16","5","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","5","0","0","1.1.1.0","0","0","0","2","16","06","06","02","02",16,"0","0","0","0","0","0"
"F10D","2","16","05","02","06","05",18,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"F13A","2","16","01","01","04","04",10,"0","0","0","0","1.2","0","2","16","1","0","0","3.1.2.1","0","0","0","5",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,"0","2","16","2","0","0","0","0","0","0","2","16","01","02","04","04",11,"0","0","0","0","0","0"
"F13B","2","16","02","03","05","06",16,"0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","2","16","3","0","0","0","0","0","0","2","16","02","02","05","06",15,"0","0","0","0","0","0"
"F6C","3",,,,,,0,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","1","06",,,,,"0",,"9","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","1","04",,,,,,,"0","5",,,,,,0,,,,,,"0"
"F9B","3",,,,,,0,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","1","10",,,,,"0",,"0","2","15","1","0","0","0","0","0","0","1","10",,,,,,,,,"0",,"0"
