Skeleton ID,dRXM2 (51) - Presence,dRXM2 (51) - Development,dRXM2 (51) - Wear 1,dRXM2 (51) - Wear 2,dRXM2 (51) - Wear 3,dRXM2 (51) - Wear 4,dXRM2 (51) - Total Wear,dRXM2 (51) - Caries 1,dRXM2 (51) - Caries 2,dRXM2 (51) - Chipping,dRXM2 (51) - Hypoplasia,dRXM2 (51) - Calculus,dRXM2 (51) - Abscess,dRXM1 (52) - Presence,dRXM1 (52) - Development,dRXM1 (52) - Wear,dRXM1 (52) - Caries 1,dRXM1 (52) - Caries 2,dRXM1 (52) - Chipping,dRXM1 (52) - Hypoplasia,dRXM1 (52) - Calculus,dRXM1 (52) - Abscess,dRXC (53) - Presence,dRXC (53) - Development,dRXC (53) - Wear,dRXC (53) - Caries 1,dRXC (53) - Caries 2,dRXC (53) - Chipping,dRXC (53) - Hypoplasia,dRXC (53) - Calculus,dRXC (53) - Abscess,dRXI2 (54) - Presence,dRXI2 (54) - Development,dRXI2 (54) - Wear,dRXI2 (54) - Caries 1,dRXI2 (54) - Caries 2,dRXI2 (54) - Chipping,dRXI2 (54) - Hypoplasia,dRXI2 (54) - Calculus,dRXI2 (54) - Abscess,dRXI1 (55) - Presence,dRXI1 (55) - Development,dRXI1 (55) - Wear,dRXI1 (55) - Caries 1,dRXI1 (55) - Caries 2,dRXI1 (55) - Chipping,dRXI1 (55) - Hypoplasia,dRXI1 (55) - Calculus,dRXI1 (55) - Abscess,dLXI1 (56) - Presence,dLXI1 (56) - Development,dLXI1 (56) - Wear,dLXI1 (56) - Caries 1,dLXI1 (56) - Caries 2,dLXI1 (56) - Chipping,dLXI1 (56) - Hypoplasia,dLXI1 (56) - Calculus,dLXI1 (56) - Abscess,dLXI2 (57) - Presence,dLXI2 (57) - Development,dLXI2 (57) - Wear,dLXI2 (57) - Caries 1,dLXI2 (57) - Caries 2,dLXI2 (57) - Chipping,dLXI2 (57) - Hypoplasia,dLXI2 (57) - Calculus,dLXI2 (57) - Abscess,dLXC (58) - Presence,dLXC (58) - Development,dLXC (58) - Wear,dLXC (58) - Caries 1,dLXC (58) - Caries 2,dLXC (58) - Chipping,dLXC (58) - Hypoplasia,dLXC (58) - Calculus,dLXC (58) - Abscess,dLXM1 (59) - Presence,dLXM1 (59) - Development,dLXM1 (59) - Wear,dLXM1 (59) - Caries 1,dLXM1 (59) - Caries 2,dLXM1 (59) - Chipping,dLXM1 (59) - Hypoplasia,dLXM1 (59) - Calculus,dLXM1 (59) - Abscess,dLXM2 (60) - Presence,dLXM2 (60) - Development,dLXM2 (60) - Wear 1,dLXM2 (60) - Wear 2,dLXM2 (60) - Wear 3,dLXM2 (60) - Wear 4,dLXM2 (60) - Total Wear,dLXM2 (60) - Caries 1,dLXM2 (60) - Caries 2,dLXM2 (60) - Chipping,dLXM2 (60) - Hypoplasia,dLXM2 (60) - Calculus,dLXM2 (60) - Abscess
"ET100","1","05",,,,,,,,,"0",,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","5",,,,,,,,"9","5",,,,,,,,"9","1","08",,,,,"0",,"0","1","05",,,,,,,,,,,"9"
"ET16","1","09",,,,,,,,,"0",,"9","2","11","1","0","0","3.1.1.1","0","0","9","2","10","1","0","0","0","0","0","9","5",,,,,,,,"9","2","11","1","0","0","0","0","0","9","2","11","1","0","0","0","0","0","9","2","12","1","0","0","0","0","0","9","2","10","1","0","0","0","0","0","9","5",,,,,,,,"9","1","09",,,,,,,,,"3; 1.57",,"9"
"ET17","2","16","03","05","02","02",12,"0","0","0","0","1.1","9","2","16","4","0","0","0","0","0","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","3","0","0","0","0","0","0","2","16","4","0","0","0","0","0","0","2","16","03","03","02","03",11,"0","0","0","0","0","0"
"ET21","1","05",,,,,,,,,"0",,"9","1","08",,,,,,,"9","5",,,,,,,,"9","1","10",,,,,"0",,"9","1","10",,,,,"0",,"9","5",,,,,,,,"9","1","10",,,,,"0",,"9","5",,,,,,,,,"1","08",,,,,"0",,"0","1","05",,,,,,,,,"0",,"0"
"ET31","2","16","01","01","01","01",4,"0","0","0","0","0","9","2","16","1","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","1","0","0","2.1.2.0","0","0","0","2","16","01","01","02","01",5,"0","0","0","0","0","9"
"ET36","2","16","04","05","05","04",18,"0","0","0","0","0","0","2","16","5","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","5","0","0","0","0","0","9","2","16","04","04","04","04",16,"0","0","0","0","0","9"
"ET63","2","16","03","03","02","02",10,"0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","5",,,,,,,,"0","5",,,,,,,,"0",,,,,,,,,,,,,,,,,,,"5",,,,,,,,"0","5",,,,,,,,"0","2","16","3","0","0","0","0","0","0","2","16","03","03","02","02",10,"0","0","0","0","0","0"
"ET66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","04",,,,,,,"0","1","05",,,,,"0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ET83","3",,,,,,,,,,,,"9","3",,,,,,,,"9","1","06",,,,,,,"0","1","09",,,,,,,"0","1","10",,"0",,,,,"0","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,,,,,"9"
"ET93","2","16","04","05","03","03",15,"0","0","3.1.1.1","0","0","0",,,,,,,,,,"3",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","05","05","03","03",16,"0","0","0","0","0","0"
"F10B",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","4","0","0","0","0","0","9",,,,,,,,,,,,,,,,0,,,,,,
"F13A","5",,,,,,0,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0",,,,,,,,,,,,,,,,,,,"5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","2","16","04","04","03","04",15,"0","0","3.1.1.2","0","0","0"
"F13B","3",,,,,,0,,,,,,,"3",,,,,,,,,"3",,,,,,,,,"3",,,,,,,,,"3",,,,,,,,,"5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","2","16","4","2","0","0","0","0","0","2","16","05","06","02","02",15,"0","0","0","0","0","0"
"F9B","3",,,,,,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0","2","15","1","0","0","0","0","0","0","1","10",,,,,,,,,"0",,"0"
"T20","2","16","06","08","07","03",24,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","4","0","0","0","0","0","0",,,,,,,,,,"2","16","06","08","05","05",24,"2","0","0","0","0","0"
"T29","2","11","01","01","01","01",4,"0","0","1.1.1.0","0","0","9","2","12","1","0","0","0","0","0","9","2","11","1","0","0","0","0","0","9","2","13","1","0","0","0","0","0","9","2","13","2","0","0","0","0","0","9","2","13","2","0","0","0","0","0","9","2","13","2","0","0","0","0","0","9","2","11","2","0","0","0","0","0","9","2","12","1","0","0","0","0","0","9","2","11","01","01","01","01",4,"0","0","0","0","0","9"
"T40",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","5","6","0","0","0","0","9",,,,,,,,,,,,,,,,0,,,,,,
"T51B","3",,,,,,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","1","05",,,,,,,,,,,"9"
"T55","2","16","01","02","01","01",5,"0","0","0","0","0","9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,0,,,,,,"9"
"T60A","3",,,,,,,,,,,,"9","1","05",,,,,,,"9","1","05",,,,,,,"9","1","08",,,,,"0",,"9","1","08",,,,,"0",,"9","1","09",,,,,"0",,"9","1","08",,,,,"0",,"9","1","05",,,,,,,"9","1","05",,,,,,,"9","3",,,,,,,,,,,,"9"
"T60B","2","16","01","01","01","01",4,"0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","2","16","3","0","0","0","0","0","0","2","16","2","0","0","0","0","0","0","2","16","1","0","0","0","0","0","0","5",,,,,,,,"0","2","16","1","0","0","0","0","0","0","2","16","01","01","01","01",4,"0","0","0","0","0","0"
"T62","2","14","01","05","07","06",19,"0","0","3.2.1.1","0","0","9","2","14","6","0","0","3.1.2.1","0","0","9","2","14","4","0","0","0","0","0","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","14","4","0","0","0","0","0","9","2","14","6","0","0","3.1.2.1","0","0","9","2","14","07","01","01","07",16,"0","0","3.2.1.2","0","0","9"
"T63A","2","16","05","06","04","04",19,"0","0","2.1.2.0","0","0","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","3","0","0","0","0","0","9","2","16","4","0","0","0","0","0","9","2","16","06","06","04","04",20,"0","0","1.1.2.0","0","0","9"
"T69B",,,,,,,0,,,,,,,"1","04",,,,,,,,,,,,,,,,,"1","06",,,,,"0",,,,,,,,,,,,"1","06",,,,,"0",,,"1","06",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"T70","2","16","02","02","02","02",8,"0","0","0","0","3.1","0","2","16","4","0","0","0","0","1.4","0","2","16","4","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","6","0","0","1.2.1.0","0","0","0","2","16","4","0","0","1.1.2.0","0","0","0","2","16","5","0","0","1.2.2.0","0","0","0","2","16","05","05","02","02",14,"0","0","3.1.2.1","0","1.1","0"
"T71","2","14","01","01","01","01",4,"0","0","0","0","0","9","7",,,,,,,,"9","2","14","3","0","0","0","0","0","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","14","6","0","0","0","0","0","9","2","14","4","0","0","0","0","1.1","9","2","14","01","02","01","01",5,"0","0","0","0","0","9"
"T8","4",,,,,,0,,,,,,"0","4",,,,,,,,"1","2","16","4","0","0","1.1.2.0","0","0","0","2","16","7","0","0","1.1.2.0","0","0","0","2","16","7","0","0","1.1.1.0","0","0","0",,,,,,,,,,"2","16","7","0","0","3.1.2.1","0","0","0","2","16","4","0","0","1.1.2.0","0","0","0",,,,,,,,,,"2","16","04","05","02","02",13,"2","0","0","0","0","0"
"T9","2","16","01","01","01","01",4,"0","0","0","0","0","9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","3",,,,,,,,"9","2","16","02","4","0","0","0","0","9","3",,,,,,,,"9","3",,,,,,,,"9","2","16","01","0","0","0","0","0","9","2","16","01","01","01","01",4,"0","0","0","0","0","9"
"US15B","2","16","04","06","01","01",12,"0","0","3.2.3.2","0","0","0","2","16","5","0","0","3.1.3.1","0","0","0","5",,,,,,,,"0","5",,,,,,,,"0","5",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"US170",,,,,,,,,,,,,,,,,,,,,,,"2","16","2","0","0","0","0","1.1","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
