Skeleton ID,Frontal - Left,Frontal - Right,Parietal - Left,Parietal - Right,Occipital,Temporal - Left,Temporal - Right,Sphenoid,Ethmoid,Vomer,Nasal - Left,Nasal - Right,Zygomatic - Left,Zygomatic - Right,Maxilla - Left,Maxilla - Right,Palatine - Left,Palatine - Right,Hyoid,Mandible,Unidentified Cranial Fragments,LXI1,LXI2,LXC,LXPM3,LXPM4,LXM1,LXM2,LXM3,RXI1,RXI2,RXC,RXPM3,RXPM4,RXM1,RXM2,RXM3,LNI1,LNI2,LNC,LNPM3,LNPM4,LNM1,LNM2,LNM3,RNI1,RNI2,RNC,RNPM3,RNPM4,RNM1,RNM2,RNM3,Clavicle - Left,Clavicle - Right,Scapula - Left,Scapula - Right,Patella - Left,Patella - Right,Sacrum,Ilium - Left,Ilium - Right,Ischium - Left,Ischium - Right,Pubis - Left,Pubis - Right,Coccyx,C1,C2,C7,C3-6,T1-9,T10,T11,T12,L1,L2,L3,L4,L5,LXdI1,LXdI2,LXdC,LXdM1,LXdM2,RXdI1,RXdI2,RXdC,RXdM1,RXdM2,LNdI1,LNdI2,LNdC,LNdM1,LNdM2,RNdI1,RNdI2,RNdC,RNdM1,RNdM2,Vertebral Fragments,Sternum,1st Rib - Left,1st Rib - Right,2nd Rib - Left,2nd Rib - Right,11th Rib - Left,11th Rib - Right,12th Rib - Left,12th Rib - Right,3-10 Ribs - Left,3-10 Ribs - Right,Ribs - Unsided,Humerus - Left,Humerus - Right,Radius - Left,Radius - Right,Ulna - Left,Ulna - Right,Femur - Left,Femur - Right,Tibia - Left,Tibia - Right,Fibula - Left,Fibula - Right,Talus - Left,Talus - Right,Calcaneus - Left,Calcaneus - Right,Carpals - Left,Carpals - Right,Metacarpals - Left,Metacarpals - Right,Hand Phalanges,Tarsals - Left,Tarsals - Right,Metatarsals - Left,Metatarsals - Right,Foot Phalanges,Inventory Comments,Ossified Cartilage,Rhomboid Fossa - L,Rhomboid Fossa - R
"ET18",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,1,1,1,1,0,0,1,0,0,"7","6","30","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",,"Complete",,"Complete",0,1,0,1,"cap, ham, lun, scaph, triq, gr mult, less mult","cap, ham, lun, scaph, triq, gr mult, less mult","1, 2, 3, 4","1, 2, 3, 4, 5","7 prox, 4 interm, 2 dist",,"3rd cuneiform",,"5","1 prox",,0,"Absent","Absent"
"ET19",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,"Unsure quite what is present.  There are at least two femora and a humerus, along with what appears to be a fibula.  Also present seems to be a scapula or some ribs.  I can't distinguish anything else, and nothing is measurable.",0,,
"ET20",0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,"4","8",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,0,0,0,0,0,"1","4","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Distal Third","Middle Third",0,0,0,0,"cap","cap, ham, scaph, less mult, gr mult, triq","1, 2, 3, 4, 5","1, 2, 3","5 prox, 3 interm, 2 dist",,,,,,,0,"Present","Unknown (clavicle fragmented)"
"ET21",1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,"4","9",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,"4","8","20","Middle Third","Middle Third",,"Complete",,"Complete","Middle Third","Middle Third","Middle Third","Middle Third","Middle Third","Middle Third",0,0,0,0,,,,,,,,,,,"Few epiphyses present, mostly those related to the vertebrae.",0,"Unknown (fragmented clavicle)","Unknown (clavicle fragmented)"
"ET22A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,"1","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,1,0,1,0,0,0,1,"4","8","10","Distal Third",,"Complete",,"Complete",,"Complete","Complete","Complete","Complete","Complete","Complete",0,1,1,1,"capitate, gr mult",,"2",,"4 prox, 1 interm, 1 dist","cuboid, 1st, 3rd cunei","cuboid, navic, 1st, 2nd cunei","1, 2, 3, 4, 5","2, 3, 4, 5","4 prox, 2 dist",,0,,
"ET22B",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,1,0,0,0,0,1,1,0,"3","7","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"gr mult, less mult","cap, scaph, gr mult, less mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 8 interm, 6 dist","cuboid, 2nd cunei","cuboid, navic, 1st cunei","1, 3, 4, 5","3, 4, 5",,,0,"Absent","Absent"
"ET23",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,1,0,0,0,1,0,0,"3","8","40","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Middle Third",,0,0,1,1,"cap, lun, ham","scaph, less mult","1, 5","1, 4","6 prox, 2 interm, 1 dist",,,,,,"Also present are: 3 MCs, 1 MT that are unidentifiable, as well as a pile of unidentifiable fragments.  Fibula could be R; it's a shaft, so it's hard to tell.",0,"Absent","Absent"
"ET24A",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,,"6",1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,30,0,0,1,0,0,0,0,0,0,"2","3","20","Distal Third","Distal Third","Prox Third","Prox Third","Complete","Prox Third","Prox Third","Complete","Distal Third","Distal Third",,,0,1,0,1,,,,"4","2 prox",,"navicular",,,,,0,"Unknown (fragmented clavicle)","Unknown (clavicle fragmented)"
"ET24B",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,"4","3",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,0,0,0,0,0,0,0,0,"3","2","30","Distal Third","Distal Third","Complete","Complete","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete","Complete",0,1,1,1,,,,,"1 dist 1st","cub","cub, navic, 1st cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1 prox 1st","Numerous unidentifiable fragments.",0,,"Unknown (clavicle fragmented)"
"ET25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,"Prox Third","Prox Third",,,,,0,0,0,0,,,,,"2 prox",,,,,,"7 unidentified fragments (probably long bone).",0,"Absent",
