Skeleton ID,Side Analyzed,Metopic suture present,Supraorbital foramen,Supraorbital notch,Infraorbital suture,Multiple infraorbital foramina,Zygomaticofacial foramina,Os japonicum present,Parietal foramen,Coronal ossicle,Bregmatic ossicle,Sagittal ossicle,Epipteric ossicle,Parietal notch ossicle,Occipitomastoid ossicle,Asterionic ossicle,Apical/Lambda ossicle,Lambdoidal suture ossicle,Os inca,Condylar facet double,Condylar canal present,Divided hypoglossal canal,Tympanic dihiscence,Mastoid foramen extrasutural,Mastoid foramen absent,Auditory exostosis present,Mental foramen multiple,Mylohyoid bridge present
"ET102","Right","0","0","1","2","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ET103","Some of Both","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"ET11","Some of Both","0","1","1","2","2","2","2","0","0","0","0","0","0","2","2","0","0","0","2","0","1","0","2","2","0","2","2"
"ET15A","Some of Both","2","2","2","2","2","2","2","0","2","2","2","2","2","2","0","0","0","0","2","2","2","2","2","2","2","2","2"
"ET18","Some of Both","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ET20","Some of Both","2","2","2","2","2","0","0","1","2","2","0","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0"
"ET22B","Some of Both","0","0","0","2","2","0","0","2","2","2","2","2","0","2","2","2","2","0","0","2","0","0","2","2","0","0","0"
"ET23","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0"
"ET24B","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","2","2","2","2","2","2","2","2","0","2","0"
"ET27","Some of Both","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0"
"ET32","Some of Both","2","2","2","2","2","2","2","1","2","2","2","2","0","2","0","0","0","0","2","2","2","2","2","2","2","2","2"
"ET33","Some of Both","0","0","1","2","2","2","2","1","0","0","2","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ET38","Left","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ET40","Some of Both","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"ET41","Some of Both","0","0","1","2","2","1","0","0","0","0","0","2","0","0","0","2","2","0","2","2","2","0","1","0","0","0","0"
"ET42","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","2","2","2","2","2","0"
"ET43","Some of Both","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0"
"ET44","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","0","2","2","0","0","0"
"ET45","Left","0","1","1","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ET51","Some of Both","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","0","2","2","0","2","2","0","0","0"
"ET52","Some of Both","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0"
"ET53","Some of Both","0","2","2","2","2","2","2","0","0","0","0","2","2","2","2","2","2","2","0","2","0","2","2","2","0","2","2"
"ET57","Some of Both","0","1","1","2","2","0","0","2","2","2","2","0","0","0","0","2","2","2","0","2","0","0","0","0","0","0","0"
"ET58","Some of Both","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"ET62","Some of Both","0","0","0","2","2","0","0","2","2","2","2","2","1","2","2","0","2","0","2","1","0","1","0","0","0","0","0"
"ET68","Some of Both","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0","0"
"ET69","Some of Both","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0"
"ET70","Some of Both","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"ET72","Some of Both","0","0","0","2","2","1","0","0","0","0","0","2","2","2","2","0","0","0","0","2","1","0","2","2","0","0","0"
"ET77","Right","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","0","0","1","0","2","2","2","0","0","0"
